ITEM_NO,lot_number,ORDER_NUMBER,TEST_TIME,EQUIPMENT_CODE,LINE_CODE,ATTRIBUTE_VALUE,PM,ISC,IPM,VOC,VPM,FF,EFF,RS,RSH,AMBIENTTEMP,SENSORTEMP,COEF_PMAX,COEF_ISC,COEF_IMAX,COEF_VOC,COEF_VMAX,COEF_FF,DEC_CTM,ATTR_1,PS_CODE,PS_ITEM_NO,PM_NAME,PS_SUBCODE,IS_DEFAULT,IS_PRINT,PRINT_TIME,PRINT_COUNT,CALIBRATE_TIME,CALIBRATION_NO,CellSUPPLIER,GlassSUPPLIER,EVASUPPLIER,BackplaneSUPPLIER,HLTSUPPLIER,
0,1251820110710,1MO-17090039,2017-10-13 0:00:02,MATST-IVT01,102A-A,null,304.0518,9.9096,9.4071,39.5701,32.3216,0.7754,0.1567,0.4163,683.7385,25.6,26.9375,304.0500,9.9096,9.4071,39.5701,32.3216,0.7754,98.23%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
1,422112I6102246,1MO-17542B-GNKC-02,2017-10-13 0:00:02,MBTST-IVT01,102B-A,EMCY2004,326.0266,9.1120,8.6318,46.2201,37.7706,0.7741,0.1680,0.5479,429.4120,25.1,25.8125,326.0266,9.1120,8.6318,46.2201,37.7706,0.7741,98.45%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
2,422112I6104501,1MO-17542B-GNKC-01,2017-10-13 0:00:14,MATST-IVT03,102A-C,EMCY1007,325.4732,9.1056,8.5988,46.1797,37.8511,0.7740,0.1677,0.5282,554.0873,26.2,27.625,325.4732,9.1056,8.5988,46.1797,37.8511,0.7740,98.80%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
3,422112I6101774,1MO-17542B-GNKC-02,2017-10-13 0:00:16,MBTST-IVT03,102B-C,EMCY2010,326.1932,9.1440,8.6019,46.2982,37.9210,0.7705,0.1993,0.5308,279.6430,25,26.0625,326.1932,9.1440,8.6019,46.2982,37.9210,0.7705,98.50%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
4,1251820110702,1MO-17090039,2017-10-13 0:00:31,MATST-IVT01,102A-A,null,303.2787,9.9631,9.4180,39.6604,32.2019,0.7675,0.1563,0.4394,244.7706,25.5,26.9375,303.2800,9.9631,9.4180,39.6604,32.2019,0.7675,97.98%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
5,422112I6102598,1MO-17542B-GNKC-02,2017-10-13 0:00:34,MBTST-IVT01,102B-A,EMCY2001,323.7997,9.1133,8.5978,46.1510,37.6608,0.7699,0.1669,0.5524,494.3314,25,25.8125,323.7997,9.1133,8.5978,46.1510,37.6608,0.7699,98.30%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
6,422112I6104466,1MO-17542B-GNKC-01,2017-10-13 0:00:36,MATST-IVT03,102A-C,EMCY1009,323.7186,9.0843,8.5814,46.1401,37.7234,0.7723,0.1668,0.5356,573.7089,26.3,27.625,323.7186,9.0843,8.5814,46.1401,37.7234,0.7723,98.27%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
7,422111I6106596,1MO-17542B-GNKC-02,2017-10-13 0:00:41,MBTST-IVT02,102B-B,EMCY2006,326.8456,9.1462,8.6333,46.2404,37.8586,0.7728,0.1684,0.5356,835.8903,25.3,26.0625,326.8456,9.1462,8.6333,46.2404,37.8586,0.7728,98.70%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
8,1251820110682,1MO-17090039,2017-10-13 0:01:00,MATST-IVT01,102A-A,EMCY1003,302.8885,9.9143,9.3993,39.5580,32.2245,0.7723,0.1561,0.4308,292.3385,25.5,26.9375,302.8900,9.9143,9.3993,39.5580,32.2245,0.7723,97.39%,21.40,JK60M,2,300W,β,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
9,422112I6104500,1MO-17542B-GNKC-01,2017-10-13 0:01:02,MATST-IVT03,102A-C,EMCY1007,323.7130,9.0928,8.5668,46.1544,37.7869,0.7713,0.1668,0.5354,872.8854,26.3,27.625,323.7130,9.0928,8.5668,46.1544,37.7869,0.7713,98.27%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
10,422112I6101770,1MO-17542B-GNKC-02,2017-10-13 0:01:06,MBTST-IVT03,102B-C,EMCY2010,325.3860,9.0986,8.6032,46.3058,37.8216,0.7723,0.1988,0.5466,489.3741,25,26.0625,325.3860,9.0986,8.6032,46.3058,37.8216,0.7723,98.26%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
